Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Segment,City,Region,Product_ID,Product_Name,Sub_Category,Sales,Quantity,Discount,Category,Profit
6231,CA-2017-127656,7/11/2017,7/17/2017,Standard Class,NW-18400,Consumer,Waterloo,Central,OFF-AR-10001166,Staples in misc. colors,Art,30.32,4,0,Office Supplies,11.8248
4190,CA-2016-157714,9/26/2016,10/1/2016,Second Class,CS-12175,Corporate,Iowa City,Central,OFF-PA-10004022,Hammermill Color Copier Paper (28Lb. and 96 Bright),Paper,9.99,1,0,Office Supplies,4.4955
3426,CA-2015-153381,9/24/2015,9/28/2015,Standard Class,DE-13255,Home Office,Dubuque,Central,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Binders,15.24,4,0,Office Supplies,6.858
3427,CA-2015-153381,9/24/2015,9/28/2015,Standard Class,DE-13255,Home Office,Dubuque,Central,FUR-CH-10000988,Hon Olson Stacker Stools,Chairs,1408.1,10,0,Furniture,394.268
8001,US-2015-151407,11/8/2015,11/12/2015,Standard Class,RD-19585,Consumer,Dubuque,Central,TEC-PH-10003885,Cisco SPA508G,Phones,263.96,4,0,Technology,76.5484
8416,CA-2017-107265,4/6/2017,4/12/2017,Standard Class,ML-17755,Home Office,Marion,Central,OFF-PA-10000474,Easy-staple paper,Paper,106.32,3,0,Office Supplies,49.9704
9251,CA-2016-105354,12/2/2016,12/6/2016,Standard Class,PW-19030,Corporate,Marion,Central,OFF-BI-10001107,"GBC White Gloss Covers, Plain Front",Binders,115.84,8,0,Office Supplies,54.4448
9915,CA-2017-160927,1/29/2017,1/31/2017,Second Class,TM-21010,Consumer,Marion,Central,OFF-PA-10003848,Xerox 1997,Paper,12.96,2,0,Office Supplies,6.2208
9916,CA-2017-160927,1/29/2017,1/31/2017,Second Class,TM-21010,Consumer,Marion,Central,OFF-PA-10000176,Xerox 1887,Paper,94.85,5,0,Office Supplies,45.528
9917,CA-2017-160927,1/29/2017,1/31/2017,Second Class,TM-21010,Consumer,Marion,Central,OFF-ST-10001590,"Tenex Personal Project File with Scoop Front Design, Black",Storage,13.48,1,0,Office Supplies,3.5048
9918,CA-2017-160927,1/29/2017,1/31/2017,Second Class,TM-21010,Consumer,Marion,Central,FUR-FU-10000010,"DAX Value U-Channel Document Frames, Easel Back",Furnishings,14.91,3,0,Furniture,4.6221
1009,US-2017-106705,12/26/2017,1/1/2018,Standard Class,PO-18850,Consumer,Burlington,Central,OFF-PA-10001509,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",Paper,44.75,5,0,Office Supplies,20.585
9210,CA-2017-142776,12/11/2017,12/14/2017,Second Class,RS-19870,Home Office,Burlington,Central,OFF-EN-10003160,Pastel Pink Envelopes,Envelopes,7.28,1,0,Office Supplies,3.4944
9211,CA-2017-142776,12/11/2017,12/14/2017,Second Class,RS-19870,Home Office,Burlington,Central,OFF-BI-10002012,Wilson Jones Easy Flow II Sheet Lifters,Binders,5.4,3,0,Office Supplies,2.592
771,CA-2017-104220,1/30/2017,2/5/2017,Standard Class,BV-11245,Corporate,Des Moines,Central,OFF-BI-10001036,Cardinal EasyOpen D-Ring Binders,Binders,18.28,2,0,Office Supplies,9.14
772,CA-2017-104220,1/30/2017,2/5/2017,Standard Class,BV-11245,Corporate,Des Moines,Central,TEC-PH-10004614,AT&T 841000 Phone,Phones,207,3,0,Technology,51.75
773,CA-2017-104220,1/30/2017,2/5/2017,Standard Class,BV-11245,Corporate,Des Moines,Central,OFF-BI-10000301,GBC Instant Report Kit,Binders,32.35,5,0,Office Supplies,16.175
774,CA-2017-104220,1/30/2017,2/5/2017,Standard Class,BV-11245,Corporate,Des Moines,Central,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Binders,7.71,1,0,Office Supplies,3.4695
775,CA-2017-104220,1/30/2017,2/5/2017,Standard Class,BV-11245,Corporate,Des Moines,Central,OFF-AR-10004648,Boston 19500 Mighty Mite Electric Pencil Sharpener,Art,40.3,2,0,Office Supplies,10.881
